frame_number,timestamp_seconds,timestamp_minutes,timestamp_formatted,num_bees,video_name,period,max_confidence,avg_confidence,min_confidence
5394,89.9899,1.4998316666666667,01:29,1,P1000475.MP4,afternoon,0.2871403992176056,0.2871403992176056,0.2871403992176056
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
10788,179.9798,2.9996633333333333,02:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,1,P1000475.MP4,afternoon,0.3629571795463562,0.3629571795463562,0.3629571795463562
19778,329.96296666666666,5.499382777777778,05:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,3,P1000475.MP4,afternoon,0.2657427489757538,0.2564687728881836,0.25060102343559265
23374,389.95623333333333,6.499270555555555,06:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
26970,449.9495,7.499158333333333,07:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
28768,479.94613333333336,7.999102222222223,07:59,1,P1000475.MP4,afternoon,0.2771364152431488,0.2771364152431488,0.2771364152431488
30566,509.94276666666667,8.499046111111111,08:29,1,P1000475.MP4,afternoon,0.29431045055389404,0.29431045055389404,0.29431045055389404
32364,539.9394,8.99899,08:59,1,P1000475.MP4,afternoon,0.3074447214603424,0.3074447214603424,0.3074447214603424
34162,569.9360333333334,9.49893388888889,09:29,2,P1000475.MP4,afternoon,0.42739659547805786,0.33903974294662476,0.25068286061286926
35960,599.9326666666667,9.998877777777778,09:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
37758,629.9293,10.498821666666666,10:29,1,P1000475.MP4,afternoon,0.44237464666366577,0.44237464666366577,0.44237464666366577
39556,659.9259333333333,10.998765555555556,10:59,1,P1000475.MP4,afternoon,0.5417418479919434,0.5417418479919434,0.5417418479919434
41354,689.9225666666666,11.498709444444444,11:29,1,P1000475.MP4,afternoon,0.31758952140808105,0.31758952140808105,0.31758952140808105
43152,719.9192,11.998653333333333,11:59,2,P1000475.MP4,afternoon,0.7661513686180115,0.515838086605072,0.26552480459213257
44950,749.9158333333334,12.498597222222223,12:29,1,P1000475.MP4,afternoon,0.2790360152721405,0.2790360152721405,0.2790360152721405
46748,779.9124666666667,12.99854111111111,12:59,4,P1000475.MP4,afternoon,0.38280680775642395,0.3119773268699646,0.2549367845058441
48546,809.9091,13.498484999999999,13:29,1,P1000475.MP4,afternoon,0.5825849771499634,0.5825849771499634,0.5825849771499634
50344,839.9057333333334,13.99842888888889,13:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
52142,869.9023666666667,14.498372777777778,14:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
53940,899.899,14.998316666666666,14:59,1,P1000475.MP4,afternoon,0.2739998996257782,0.2739998996257782,0.2739998996257782
55738,929.8956333333333,15.498260555555555,15:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
57536,959.8922666666667,15.998204444444445,15:59,1,P1000475.MP4,afternoon,0.32770779728889465,0.32770779728889465,0.32770779728889465
59334,989.8889,16.498148333333333,16:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
61132,1019.8855333333333,16.998092222222223,16:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
62930,1049.8821666666668,17.498036111111112,17:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
64728,1079.8788,17.99798,17:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
66526,1109.8754333333334,18.497923888888888,18:29,0,P1000475.MP4,afternoon,0.0,0.0,0.0
68324,1139.8720666666668,18.99786777777778,18:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
70122,1169.8687,19.497811666666667,19:29,1,P1000475.MP4,afternoon,0.26369476318359375,0.26369476318359375,0.26369476318359375
71920,1199.8653333333334,19.997755555555557,19:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
73718,1229.8619666666666,20.497699444444443,20:29,1,P1000475.MP4,afternoon,0.29366156458854675,0.29366156458854675,0.29366156458854675
75516,1259.8586,20.997643333333333,20:59,0,P1000475.MP4,afternoon,0.0,0.0,0.0
0,0.0,0.0,00:00,0,P1000476.MP4,afternoon,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,1,P1000476.MP4,afternoon,0.38986340165138245,0.38986340165138245,0.38986340165138245
5394,89.9899,1.4998316666666667,01:29,1,P1000476.MP4,afternoon,0.493571400642395,0.493571400642395,0.493571400642395
7192,119.98653333333334,1.9997755555555556,01:59,2,P1000476.MP4,afternoon,0.4386519491672516,0.35307776927948,0.267503559589386
8990,149.98316666666668,2.4997194444444446,02:29,3,P1000476.MP4,afternoon,0.6168551445007324,0.42435646057128906,0.3165261447429657
10788,179.9798,2.9996633333333333,02:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,1,P1000476.MP4,afternoon,0.3510049879550934,0.3510049879550934,0.3510049879550934
21576,359.9596,5.999326666666667,05:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,1,P1000476.MP4,afternoon,0.25112587213516235,0.25112587213516235,0.25112587213516235
25172,419.9528666666667,6.999214444444445,06:59,1,P1000476.MP4,afternoon,0.29339540004730225,0.29339540004730225,0.29339540004730225
26970,449.9495,7.499158333333333,07:29,1,P1000476.MP4,afternoon,0.4442128539085388,0.4442128539085388,0.4442128539085388
28768,479.94613333333336,7.999102222222223,07:59,0,P1000476.MP4,afternoon,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,0,P1000476.MP4,afternoon,0.0,0.0,0.0
