epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8182.03,2.11595,1.43551,0.84913,0.68144,0.48211,0.51967,0.13901,2.59085,1.7756,0.8828,0.001016,0.001016,0.001016
84,8255.46,2.27357,1.81689,0.94221,0.49938,0.3662,0.30834,0.06041,3.14037,2.03019,0.91564,0.001004,0.001004,0.001004
85,8331.04,2.23705,1.7209,0.93584,0.46912,0.3662,0.25679,0.04478,3.21615,1.91177,0.91854,0.000992,0.000992,0.000992
86,8406.45,2.1936,1.52078,0.85519,0.74613,0.53817,0.55578,0.13057,2.64838,1.68166,0.88131,0.00098,0.00098,0.00098
87,8481.92,2.12723,1.88931,0.94002,0.78785,0.60563,0.65594,0.23786,2.17769,1.52833,0.85608,0.000968,0.000968,0.000968
88,8557.48,2.47336,1.69232,0.84821,0.80758,0.61972,0.67005,0.23858,2.17576,1.55718,0.85738,0.000956,0.000956,0.000956
89,8633.75,2.16541,1.84902,1.02608,0.72648,0.53521,0.59048,0.17245,2.37511,1.63456,0.86548,0.000944,0.000944,0.000944
90,8708.3,2.2297,1.60483,0.88601,0.74221,0.49296,0.55354,0.15764,2.51354,1.60522,0.87378,0.000932,0.000932,0.000932
91,8784,2.24756,1.61661,0.92336,0.79443,0.60563,0.64873,0.21273,2.27088,1.5328,0.86114,0.00092,0.00092,0.00092
92,8859.89,2.21223,1.69219,0.86983,0.82835,0.60563,0.69666,0.26087,2.20017,1.45038,0.85579,0.000908,0.000908,0.000908
93,8936.36,2.15403,1.57885,0.90678,0.75555,0.56597,0.63879,0.20443,2.43879,1.55719,0.86713,0.000896,0.000896,0.000896
94,9012.14,2.30595,1.68757,0.87599,0.70951,0.49296,0.50155,0.10093,2.8023,1.75958,0.88981,0.000884,0.000884,0.000884
95,9087.48,2.09414,1.4359,0.87581,0.4045,0.36359,0.22491,0.03838,3.20287,2.0457,0.91378,0.000872,0.000872,0.000872
96,9161.5,2.1539,1.58161,0.84434,0.58207,0.41199,0.37413,0.08129,2.94787,1.78208,0.89493,0.00086,0.00086,0.00086
97,9236.92,2.18642,1.51442,0.79688,0.71743,0.46489,0.48274,0.12419,2.75782,1.60527,0.88659,0.000848,0.000848,0.000848
98,9313.43,2.04482,1.47441,0.90869,0.84825,0.62987,0.69824,0.22265,2.41022,1.43472,0.86793,0.000836,0.000836,0.000836
99,9389.26,2.20794,1.36611,0.86673,0.8346,0.66197,0.6998,0.23115,2.33925,1.49269,0.86067,0.000824,0.000824,0.000824
100,9464.42,2.19436,1.46647,0.89314,0.80626,0.64479,0.65848,0.21361,2.32216,1.52526,0.86447,0.000812,0.000812,0.000812
101,9541.31,2.20742,1.64386,0.90284,0.79834,0.6338,0.6473,0.19077,2.44892,1.51855,0.87184,0.0008,0.0008,0.0008
102,9618.85,2.21812,1.62326,0.89923,0.77655,0.61972,0.64453,0.18001,2.51311,1.58519,0.87421,0.000788,0.000788,0.000788
103,9695.66,2.04339,1.3871,0.89901,0.8227,0.59155,0.64978,0.18725,2.56219,1.63116,0.87628,0.000776,0.000776,0.000776
