video_file,full_path,week,site,shift,analysis_success,timestamp
P1000362.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/afternoon/P1000362.MP4,week_1,site_2,afternoon,True,2025-07-16T14:06:30.661153
._P1000362.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/afternoon/._P1000362.MP4,week_1,site_2,afternoon,True,2025-07-16T14:06:32.537616
P1000363.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/afternoon/P1000363.MP4,week_1,site_2,afternoon,True,2025-07-16T14:06:38.323930
._P1000363.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/afternoon/._P1000363.MP4,week_1,site_2,afternoon,True,2025-07-16T14:06:40.166252
P1000067.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/morning/P1000067.MP4,week_1,site_2,morning,True,2025-07-16T14:06:46.527269
P1000068.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/morning/P1000068.MP4,week_1,site_2,morning,True,2025-07-16T14:06:52.766117
P1000359.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_3/mid/P1000359.MP4,week_1,site_3,mid,True,2025-07-16T14:06:59.121756
P1000360.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_3/mid/P1000360.MP4,week_1,site_3,mid,True,2025-07-16T14:07:05.645966
P1000364.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_3/afternoon/P1000364.MP4,week_1,site_3,afternoon,True,2025-07-16T14:07:11.619531
P1000357.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_3/morning/P1000357.MP4,week_1,site_3,morning,True,2025-07-16T14:07:17.827360
P1000358.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_3/morning/P1000358.MP4,week_1,site_3,morning,True,2025-07-16T14:07:24.274552
P1000361.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_4/mid/P1000361.MP4,week_1,site_4,mid,True,2025-07-16T14:07:30.282211
._P1000361.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_4/mid/._P1000361.MP4,week_1,site_4,mid,True,2025-07-16T14:07:32.193460
P1000069.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_4/morning/P1000069.MP4,week_1,site_4,morning,True,2025-07-16T14:07:38.630819
P1000365.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_1/mid/P1000365.MP4,week_1,site_1,mid,True,2025-07-16T14:07:44.705468
P1000366.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_1/mid/P1000366.MP4,week_1,site_1,mid,True,2025-07-16T14:07:50.817890
P1000076.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_2/mid/P1000076.MP4,week_1,site_2,mid,True,2025-07-16T14:07:56.918627
P1000077.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_2/mid/P1000077.MP4,week_1,site_2,mid,True,2025-07-16T14:08:03.111499
P1000367.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_3/mid/P1000367.MP4,week_1,site_3,mid,True,2025-07-16T14:08:09.659896
P1000368.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_3/mid/P1000368.MP4,week_1,site_3,mid,True,2025-07-16T14:08:16.198702
._P1000368.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_3/mid/._P1000368.MP4,week_1,site_3,mid,True,2025-07-16T14:08:18.068417
P1000078.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_4/mid/P1000078.MP4,week_1,site_4,mid,True,2025-07-16T14:08:23.891601
P1000079.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_3/site_4/mid/P1000079.MP4,week_1,site_4,mid,True,2025-07-16T14:08:29.950984
P1000089.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/afternoon/P1000089.MP4,week_2,site_1,afternoon,True,2025-07-16T14:08:35.787346
._P1000089.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/afternoon/._P1000089.MP4,week_2,site_1,afternoon,True,2025-07-16T14:08:37.666027
P1000090.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/afternoon/P1000090.MP4,week_2,site_1,afternoon,True,2025-07-16T14:08:43.408021
._P1000090.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/afternoon/._P1000090.MP4,week_2,site_1,afternoon,True,2025-07-16T14:08:45.248650
P1000084.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/mid/P1000084.MP4,week_2,site_1,mid,True,2025-07-16T14:08:51.010412
P1000085.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/mid/P1000085.MP4,week_2,site_1,mid,True,2025-07-16T14:08:56.774582
P1000372.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/morning/P1000372.MP4,week_2,site_1,morning,True,2025-07-16T14:09:02.948406
P1000373.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_1/morning/P1000373.MP4,week_2,site_1,morning,True,2025-07-16T14:09:09.220656
P1000378.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/afternoon/P1000378.MP4,week_2,site_2,afternoon,True,2025-07-16T14:09:15.030836
P1000379.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/afternoon/P1000379.MP4,week_2,site_2,afternoon,True,2025-07-16T14:09:20.836173
P1000374.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/mid/P1000374.MP4,week_2,site_2,mid,True,2025-07-16T14:09:26.637529
P1000375.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/mid/P1000375.MP4,week_2,site_2,mid,True,2025-07-16T14:09:32.402615
P1000370.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000370.MP4,week_2,site_2,morning,True,2025-07-16T14:09:38.719838
P1000371.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_2/morning/P1000371.MP4,week_2,site_2,morning,True,2025-07-16T14:09:45.032307
P1000380.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/afternoon/P1000380.MP4,week_2,site_3,afternoon,True,2025-07-16T14:09:51.259206
._P1000380.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/afternoon/._P1000380.MP4,week_2,site_3,afternoon,True,2025-07-16T14:09:53.092692
P1000087.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/mid/P1000087.MP4,week_2,site_3,mid,True,2025-07-16T14:09:58.806142
P1000088.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/mid/P1000088.MP4,week_2,site_3,mid,True,2025-07-16T14:10:04.506493
P1000376.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/mid/P1000376.MP4,week_2,site_3,mid,True,2025-07-16T14:10:10.470194
P1000080.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/morning/P1000080.MP4,week_2,site_3,morning,True,2025-07-16T14:10:16.672289
P1000081.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_3/morning/P1000081.MP4,week_2,site_3,morning,True,2025-07-16T14:10:23.246889
P1000091.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_4/afternoon/P1000091.MP4,week_2,site_4,afternoon,True,2025-07-16T14:10:28.924737
._P1000091.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_4/afternoon/._P1000091.MP4,week_2,site_4,afternoon,True,2025-07-16T14:10:30.697504
